S.No,Geographical Indications,Goods,State,State 2,State 3,State 4,State 5,State 6,State 7
80,Agates of Cambay,Handicraft,Gujarat,,,,,,
81,Bell Metal Ware of Datia and Tikamgarh,Handicraft,Madhya Pradesh,,,,,,
82,Kutch Embroidery,Handicraft,Gujarat,,,,,,
83,Kani Shawl,Handicraft,Jammu & Kashmir,,,,,,
84,Chamba Rumal,Handicraft,Himachal Pradesh,,,,,,
85,Dharwad Pedha,Food stuff,Karnataka,,,,,,
86,Pokkali Rice,Agricultural,Kerala,,,,,,
87,Pipli Applique Work,Handicraft,Odisha,,,,,,
88,Budithi Bell & Brass Metal Craft,Handicraft,Andhra Pradesh,,,,,,
89,Thanjavur Doll,Handicraft,Tamil Nadu,,,,,,
90,Santiniketan Leather Goods,Handicraft,West Bengal,,,,,,
91,Nirmal Furniture,Handicraft,Telangana,,,,,,
92,Nirmal Paintings,Handicraft,Telangana,,,,,,
93,Andhra Pradesh Leather Puppetry,Handicraft,Andhra Pradesh,,,,,,
94,Malda Laxman Bhog Mango,Agricultural,West Bengal,,,,,,
95,Malda Khirsapati (Himsagar) Mango,Agricultural,West Bengal,,,,,,
96,Malda Fazli Mango,Agricultural,West Bengal,,,,,,
97,Kashmir Pashmina,Handicraft,Jammu & Kashmir,,,,,,
98,Kashmir Sozani Craft,Handicraft,Jammu & Kashmir,,,,,,
99,Naga Mircha,Agricultural,Nagaland,,,,,,
100,Nilgiri (Orthodox),Agricultural,Tamil Nadu,,,,,,
101,Assam (Orthodox),Agricultural,Assam,,,,,,
102,Lucknow Chikan Craft,Handicraft,Uttar Pradesh,,,,,,
103,Virupakshi Hill Banana,Agricultural,Tamil Nadu,,,,,,
104,Sirumalai Hill Banana,Agricultural,Tamil Nadu,,,,,,
105,Feni,Manufactured,Goa,,,,,,
106,Uppada Jamdani Sarees,Handicraft,Andhra Pradesh,,,,,,
107,Tirupathi Laddu,Food stuff,Andhra Pradesh,,,,,,
108,Mango Malihabadi Dusseheri,Agricultural,Uttar Pradesh,,,,,,
109,Puneri Pagadi,Handicraft,Maharashtra,,,,,,
110,Banaras Brocades and Sarees,Handicraft,Uttar Pradesh,,,,,,
111,Tangaliya Shawl,Handicraft,Gujarat,,,,,,
112,Vazhakulam Pineapple,Agricultural,Kerala,,,,,,
113,Devanahalli Pomello,Agricultural,Karnataka,,,,,,
114,Appemidi Mango,Agricultural,Karnataka,,,,,,
115,Kamalapur Red Banana,Agricultural,Karnataka,,,,,,
116,Santipore Saree,Handicraft,West Bengal,,,,,,
117,Cannanore Home Furnishings,Handicraft,Kerala,,,,,,
118,Peruvian Pisco,Manufactured,Peru,,,,,,
119,Sanganeri Hand Block Printing,Handicraft,Rajasthan,,,,,,
120,Balaramapuram Sarees and Fine Cotton Fabrics,Handicraft,Kerala,,,,,,
121,Bikaneri Bhujia,Food Stuff,Rajasthan,,,,,,
122,Guntur Sannam Chilli,Agricultural,Andhra Pradesh,,,,,,
123,Nashik Valley Wine,Manufactured,Maharashtra,,,,,,
124,Gadwal Sarees,Handicraft,Telangana,,,,,,
125,Kinnauri Shawl,Handicraft,Himachal Pradesh,,,,,,
126,Kasaragod Sarees,Handicraft,Kerala,,,,,,
127,Kuthampully Sarees,Handicraft,Kerala,,,,,,
128,Sandur Lambani Embroidery,Handicraft,Karnataka,,,,,,
129,Hand Made Carpet of Bhadohi,Handicraft,Uttar Pradesh,,,,,,
130,Paithani Sarees and Fabrics,Handicraft,Maharashtra,,,,,,
131,Mahabaleshwar Strawberry,Agricultural,Maharashtra,,,,,,
132,Hyderabad Haleem,Food Stuff,Telangana,,,,,,
133,Champangne,Manufactured,France,,,,,,
134,Napa Valley,Manufactured,United States of America,,,,,,
135,Central Travancore Jaggery,Agricultural,Kerala,,,,,,
136,Champa Silk Saree And Fabrics,Handicraft,Chhattisgarh,,,,,,
137,Wayanad Jeerakasala Rice,Agricultural,Kerala,,,,,,
138,Wayanad Gandhakasala Rice,Agricultural,Kerala,,,,,,
140,Nashik Grapes,Agricultural,Maharashtra,,,,,,
141,Surat Zari Craft,Handicraft,Gujarat,,,,,,
142,Cheriyal Paintings,Handicraft,Telangana,,,,,,
143,Pembarthi Metal Craft,Handicraft,Telangana,,,,,,
144,Payyannur Pavithra Ring,Handicraft,Kerala,,,,,,
145,Phulkari,Handicraft,Punjab,Haryana,Rajasthan,,,,
146,Khandua Saree and Fabrics,Handicraft,Odisha,,,,,,
147,Byadagi Chilli,Agricultural,Karnataka,,,,,,
148,Scotch Whisky,Manufactured,United Kingdom,,,,,,
149,Prosciutto di Parma,Food Stuff,Italy,,,,,,
150,Bagru Hand Block Print,Handicraft,Rajasthan,,,,,,
151,Venkatagiri Sarees,Handicraft,Andhra Pradesh,,,,,,
152,Gir Kesar Mango,Agricultural,Gujarat,,,,,,
153,Bhalia Wheat,Agricultural,Gujarat,,,,,,
154,Villianur Terracotta Works,Handicraft,Pondicherry,,,,,,
155,Tirukanur Papier Mache Craft,Handicraft,Pondicherry,,,,,,
156,Cognac,Manufactured,France,,,,,,
157,Kachchh Shawls,Handicraft,Gujarat,,,,,,
158,Udupi Mattu Gulla Brinjal,Agricultural,Karnataka,,,,,,
159,Baluchari Saree,Handicraft,West Bengal,,,,,,
160,Dhaniakhali Saree,Handicraft,West Bengal,,,,,,
161,Kashmir Paper Machie,Handicraft,Jammu & Kashmir,,,,,,
162,Kashmir Walnut Wood Carving,Handicraft,Jammu & Kashmir,,,,,,
163,Bobbili Veena,Handicraft,Andhra Pradesh,,,,,,
164,Khatamband,Handicraft,Jammu & Kashmir,,,,,,
165,Kinhal Toys,Handicraft,Karnataka,,,,,,
166,Chendamangalam Dhoties & Set Mundu,Handicraft,Kerala,,,,,,
167,Porto,Manufactured,Portugal,,,,,,
168,Douro,Manufactured,Portugal,,,,,,
169,Gopalpur Tussar Fabrics,Handicraft,Odisha,,,,,,
170,Siddipet Gollabama,Handicraft,Telangana,,,,,,
171,Ganjam Kewda Rooh,Manufactured,Odisha,,,,,,
172,Ganjam Kewda Flower,Agricultural,Odisha,,,,,,
173,Maheshwar Sarees & Fabrics,Handicraft,Madhya Pradesh,,,,,,
174,Dhalapathar Parda & Fabrics,Handicraft,Odisha,,,,,,
175,Sambalpuri Bandha Saree & Fabrics,Handicraft,Odisha,,,,,,
176,Bomkai Saree & Fabrics,Handicraft,Odisha,,,,,,
177,Habaspuri Saree & Fabrics,Handicraft,Odisha,,,,,,
178,Berhampur Patta (Phoda Kumbha) Saree & Joda,Handicraft,Odisha,,,,,,
179,Bhagalpur Silk,Handicraft,Bihar,,,,,,
180,Mangalagiri Sarees and Fabrics,Handicraft,Andhra Pradesh,,,,,,
181,Madurai Malli,Agricultural,Tamil Nadu,,,,,,
182,Tequila,Manufactured,Mexico,,,,,,
183,"Pattamadai Pai (""Pattamadai Mat"")",Handicraft,Tamil Nadu,,,,,,
184,"Nachiarkoil Kuthuvilakku (""Nachiarkoil Lamp"")",Handicraft,Tamil Nadu,,,,,,
185,Chettinad Kottan,Handicraft,Tamil Nadu,,,,,,
186,Narayanpet Handloom Sarees,Handicraft,Telangana,,,,,,
187,Toda Embroidery,Handicraft,Tamil Nadu,,,,,,
188,Thanjavur Veenai,Handicraft,Tamil Nadu,,,,,,
189,Bangalore Blue Grapes,Agricultural,Karnataka,,,,,,
190,Agra Durrie,Handicraft,Uttar Pradesh,,,,,,
191,Farrukhabad Prints,Handicraft,Uttar Pradesh,,,,,,
192,Lucknow Zardozi,Handicraft,Uttar Pradesh,,,,,,
193,Banaras Brocades and Sarees,Handicraft,Uttar Pradesh,,,,,,
194,Kalanamak Rice,Agricultural,Uttar Pradesh,,,,,,
195,Patan Patola,Handicraft,Gujarat,,,,,,
196,Orissa Pattachitra,Handicraft,Odisha,,,,,,
197,Bastar Dhokra,Handicraft,Chhattisgarh,,,,,,
198,Bell Metal Ware of Datia and Tikamgarh ,Handicraft,Madhya Pradesh,,,,,,
199,Kaipad Rice,Agricultural,Kerala,,,,,,
200,Kullu ShawL,Handicraft,Himachal Pradesh,,,,,,
